LOC_NR,LOC_TYPE,LOC_DES,ROADNUMBER,ROADNAME,FIRST_NAME,SECND_NAME,JUNCT_REF,EXIT_NR,HSTART_POS,HEND_POS,HSTART_NEG,HEND_NEG,HECTO_CHAR,HECTO_DIR,POS_IN,POS_OUT,NEG_IN,NEG_OUT,DIR,AREA_REF,LIN_REF,INTER_REF,POS_OFF,NEG_OFF,URBAN_CODE,PRES_POS,PRES_NEG,FAR_AWAY,CITY_DISTR,TOP_SIGN,TYPE_CODE,MW_REF,RW_NR,AW_REF,TABLE
0,V1.0,Versie,17,,5.5.B,15-03-2013,0,,-1,-1,-1,-1,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,nulrec_vild55a.dbf
10,A1.0,Werelddeel,,,Europa,,0,,-1,-1,-1,-1,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
11,A2.0,Groep,,,Benelux,,0,,-1,-1,-1,-1,,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
50,A3.0,Land,,,Nederland,,0,,-1,-1,-1,-1,,0,0,0,0,0,,11,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
51,A3.0,Land,,,Duitsland,,0,,-1,-1,-1,-1,,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
52,A3.0,Land,,,Belgi�,,0,,-1,-1,-1,-1,,0,0,0,0,0,,11,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
53,A3.0,Land,,,Luxemburg,,0,,-1,-1,-1,-1,,0,0,0,0,0,,11,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
54,A3.0,Land,,,Frankrijk,,0,,-1,-1,-1,-1,,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
70,A5.1,Zee,,,Noordzee,,0,,-1,-1,-1,-1,,0,0,0,0,0,,10,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
100,A7.0,Landsdeel,,,Het Noorden van het Land,,0,,-1,-1,-1,-1,,0,0,0,0,0,,50,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
101,A7.0,Landsdeel,,,Het Noordwesten van het Land,,0,,-1,-1,-1,-1,,0,0,0,0,0,,50,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
102,A7.0,Landsdeel,,,Het Oosten van het Land,,0,,-1,-1,-1,-1,,0,0,0,0,0,,50,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
103,A7.0,Landsdeel,,,Het Midden van het Land,,0,,-1,-1,-1,-1,,0,0,0,0,0,,50,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
104,A7.0,Landsdeel,,,Het Zuidwesten van het Land,,0,,-1,-1,-1,-1,,0,0,0,0,0,,50,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
105,A7.0,Landsdeel,,,Het Zuiden van het Land,,0,,-1,-1,-1,-1,,0,0,0,0,0,,50,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
106,A7.0,Landsdeel,,,Het Noordoosten van het Land,,0,,-1,-1,-1,-1,,0,0,0,0,0,,50,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
107,A7.0,Landsdeel,,,Het Zuidoosten van het Land,,0,,-1,-1,-1,-1,,0,0,0,0,0,,50,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
108,A7.0,Landsdeel,,,Het Westen van het Land,,0,,-1,-1,-1,-1,,0,0,0,0,0,,50,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
200,A8.0,Provincie,,,De Provincie Noord-Brabant,,0,,-1,-1,-1,-1,,0,0,0,0,0,,105,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
201,A8.0,Provincie,,,De Provincie Drenthe,,0,,-1,-1,-1,-1,,0,0,0,0,0,,100,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
202,A8.0,Provincie,,,De Provincie Flevoland,,0,,-1,-1,-1,-1,,0,0,0,0,0,,103,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
203,A8.0,Provincie,,,De Provincie Friesland,,0,,-1,-1,-1,-1,,0,0,0,0,0,,100,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
204,A8.0,Provincie,,,De Provincie Gelderland,,0,,-1,-1,-1,-1,,0,0,0,0,0,,102,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
205,A8.0,Provincie,,,De Provincie Groningen,,0,,-1,-1,-1,-1,,0,0,0,0,0,,100,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
206,A8.0,Provincie,,,De Provincie Limburg,,0,,-1,-1,-1,-1,,0,0,0,0,0,,105,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
207,A8.0,Provincie,,,De Provincie Noord-Holland,,0,,-1,-1,-1,-1,,0,0,0,0,0,,101,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
208,A8.0,Provincie,,,De Provincie Overijssel,,0,,-1,-1,-1,-1,,0,0,0,0,0,,102,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
209,A8.0,Provincie,,,De Provincie Utrecht,,0,,-1,-1,-1,-1,,0,0,0,0,0,,103,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
210,A8.0,Provincie,,,De Provincie Zeeland,,0,,-1,-1,-1,-1,,0,0,0,0,0,,104,0,0,0,0,0,0,0,0,,,0,0,0,0,tmc_plus.dbf
